,VARIETY,BOTANICAL_NAME,PRONUNCIATION,ALIASES,DESCRIPTION,ZONE,MIN_TEMP,DIFFICULTY,HEIGHT,SPREAD,GROWTH_RATE,COMPANION_PLANTS,BLOOMING_FRUITING,SUMMER_FOLIAGE,FALL_FOLIAGE,FLOWER_COLOR,USES_CHARACTERISTICS,PRICE,DEER_RESISTANT,DROUGHT_TOLERANT,ATTRACTS_POLLINATORS,GROUND_COVER,OTHER
62,Seaside Serenade Hamptons Hydrangea,Hydrangea,,,"Huge, ball-shaped blooms with thick, intense pink florets on amazingly tough stems. Long-lasting and perfect for cut floral displays. Naturally compact shape has robust, dark green, leathery foliage with fantastic maroon color in spring and fiery cinnamon-red in fall. Resists scorch, even if watering is missed on a hot day!",4,-30°,,42”,36”,,,"Spring, repeating through summer.",,,,Deciduous; Foliage: Green; Massed; Containers; Cut Flowers; Showy; Attracts butterflies; Loves acidic fertilizer,0,,,,,
63,Blue Enchantress Hydrangea,Hydrangea macrophylla 'Monmar',hy-DRAIN-juh mak-roh-FIL-uh,,Striking ruby-black stems support big mophead flowers on this exquisite reblooming hydrangea. A superb border shrub for color throughout summer; blue in acidic soils and pink in more alkaline soils. Flowers age to a vintage cream-splashed green color. Prized for cut or dried flower arrangements.,44660,30°,,3-5',3-5',,"Yews, boxwoods, hostas, ferns, begonias, coleus, browallia, euphoria and impatiens","Spring, repeating through summer.",Green,,Blue,,0,,,,,
64,Vanilla Strawberry Hydrangea,Hydrangea Panicle,,,"Now available in tree form, the enormous flower panicles are a blend of vanilla and strawberry, held upright on red stems. They emerge creamy white in mid-summer, change to pink and finally to strawberry red. New blooms give the plant a multicolored effect.",4,-30°,,7-Jun,44687,,,Summer,,,,,45,,,,,
65,Jostine,Jostaberry,yust-uh-berry,,"Vigorous black currant and gooseberry hybrid that produces medium to large berries with excellent flavor and very high yields. Berries keep well on the bush prolonging the harvest season and can be made into jellies, jams, pies, or eaten fresh. Plants are thornless.",3,-40°,,5-Mar,44626,,,May/ July-August,,,,,0,,,,,
66,Common Purple Lilac,Lilac,,,"The delightfully fragrant flowers are large and profuse, and they provide fantastic spring color. They are showy in the landscape and make knockout cut flower arrangements. Easy care.",3,-40°,,10-Aug,44783,,,Spring,,,,Accent; Hedge; Privacy screen; Attracts butterflies and hummingbirds; Deer resistant; Deciduous; Foliage: Green; Fall Foliage: Yellow,0,,,,,
67,Siberian Peashrub,Peashrub,,,"Hardy, sun-loving, large shrub tolerant of drought, wind, deer and varying soil conditions. Prized for its light green, ferny-like foliage and bright yellow spring flowers.",2,-50°,,15-20,44913,,,Spring,,,,"Deciduous; Yellow Blossoms; Foliage: Green; Fall Foliage: Yellow; Hedge, Massing, Windbreak; Attracts butterflies; Regular pruning is required to keep plants in bound. Cut stems back to ground to rejuvenate.",0,,,,,
68,Cheyenne Mock Orange,Philadelphus lewisii,,,"Fine-textured, dark green foliage. Cinnamon red bark. Fragrant. Large, woody, erect to spreading shrub with many stems and branches. Stems red-brown, turning gray with age. Leaves opposite, deciduous, with 3 veins running from base to tip of leaf. Flowers fragrant, 6 or more clusters with 4 or 5 white petals with yellow stamens.",3,-40°,,9-Jun,44689,,,Spring,,,,"Insect, and disease resistant. Bee friendly; Attracts Butterflies; NATIVE; Fragrant; Drought tolerant when established",12,,,,,
69,Snowflake Mock Orange,Philadelphus lewisii,,,This is an old fashioned shrub that is still very popular because it is easy to grow and brings the outrageously sweet scent of orange blossoms to deprived Northern gardeners.,4,-30°,,8,8,,,May-June,,,,Deciduous; Double White Blossoms; Foliage: Green; Fall Foliage: Yellow; Prune after flowering. Fragrant; Attracts butterflies.,32,,,,,
70,Abbotswood Potentilla,Potentilla,,,"An excellent dwarf shrub that will provide brilliant summer interest with masses of bright white blooms that cover the fine green foliage, long after many plants have stopped flowering.",3,-40°,,2,3,,,Summer - Fall,,,,"Deciduous; White Blossoms; Foliage: Green; Fall Foliage: Green; Colorful Border, Massed; GROUND COVER; Hedge; Rock Garden; Drought Tolerant when established; Prune after flowering to keep plants in featured areas looking manicured and neat. Cut them back hard in late winter when needed to rejuvenate them. Deer resistant; Attracts butterflies",0,,,,,
71,Gold Star Potentilla,Potentilla,,,Beautiful display of golden yellow blooms that cover the finely textured green foliage profusely throughout summer.,3,-40°,,2,3,,,Summer - Fall,,,,"Deciduous; Yellow Blossoms; Foliage: Green; Fall Foliage: Green; Colorful Border, Massed; GROUND COVER; Hedge; Rock Garden; Drought Tolerant when established; Prune after flowering to keep plants in featured areas looking manicured and neat. Cut them back hard in late winter when needed to rejuvenate them. Deer resistant; Attracts butterflies",0,,,,,
72,GoldFinger Potentilla,Potentilla,,,A versatile small shrub producing large rich yellow buttercup-like flowers in summer. Finely textured dark green foliage on a mounding form. Use as a colorful accent in shrub borders.,3,-40°,,3,4,,,Summer - Fall,,,,"NATIVE; Deciduous; Yellow Blossoms; Foliage: Green; Fall Foliage: Green; Colorful Border, Massed; GROUND COVER; Hedge; Rock Garden; Drought Tolerant when established; Prune after flowering to keep plants in featured areas looking manicured and neat. Cut them back hard in late winter when needed to rejuvenate them. Deer resistant; Attracts butterflies",0,,,,,
73,Cheyenne Privet,Privet,,,"Best privacy fence. Trimming can be done at anytime. If not trimmed this shrub will grow to about 8 feet tall with spreading branches that will have showy, fragrant white flowers in late spring. Adaptable to a wide range of growing conditions, including poor soil, dry or wet areas and exposed locations. Spacing for hedges should be from 2 feet to 4 feet apart",4,-30°,,10-Aug,44657,,,Spring,,,,"Deciduous; White Blossoms; Foliage: Glossy Green; Fall Foliage: Subtle Yellow; Fast growing; Hedge; For all hedges, it is always best to keep the lowest part of the hedge the widest and the top of the hedge the narrowest. This method of pruning will ensure nice density right to the ground. Deer Resistant;",0,,,,,
74,Lodense Privet,Privet,,,"Best low hedge.  Trimming can be done at anytime. If not trimmed this shrub will grow to about 8 feet tall with spreading branches that will have showy, fragrant white flowers in late spring. Adaptable to a wide range of growing conditions, including poor soil, dry or wet areas and exposed locations. Spacing for hedges should be from 2 feet to 4 feet apart",4,-30°,,3-Feb,44624,,,Spring,,,,"Deciduous; White Blossoms; Foliage: Glossy Green; Fall Foliage: Subtle Yellow; Fast growing; Hedge; For all hedges, it is always best to keep the lowest part of the hedge the widest and the top of the hedge the narrowest. This method of pruning will ensure nice density right to the ground. Deer Resistant;",0,,,,,
75,Western Sand Cherry,Prunus besseyi,Prune-US bess-EE-eye,,"Displays attractive, single, white flowers in May. It then produces an abundance of 3/4-inch purple-black sweet fruit. They can be eaten fresh, dried, or processed as jellies and pies. Native range from Manitoba to Wyoming and Colorado.",44626,-40°,Easy,5-6',5-6',Medium,Pollinates other plants.,May/Aug-Sep,Silver-Green,Burgundy/Purple,White,"Prune sand cherry every year in early spring. Remove any dead or weak branches, and trim the tips of branches to maintain the desired shape and size.",0,,,,,
76,Russian Almond,Russian Almond,,,More of an ornamental that a nut producer. This winter hardy naturally dwarf tree. A bitter oil can be expressed from the seeds and the small fruits have been used as food in Siberia.,3,-40°,,5,4,,,Spring,,,,"Deciduous.Pink Blossoms; Foliage: Green; Fall Foliage: Yellow; A high maintenance shrub that will require regular care and upkeep, and should only be pruned after flowering to avoid removing any of the current season s flowers. Buyers should be aware that this variety has many suckers.",0,,,,,
77,Pussy Willow,Salix discolor,,,"The North American native plant Salix discolor, a deciduous shrub, is the most common species",2,-50°,,6-25',4-15',,,Spring,,,,Deciduous; NATIVE,0,,,,,
78,Blue Arctic Willow,Salix Purpurea,,,"Dwarf, rounded shrub valued for the steely blue-gray foliage on supple, purple stems. Popular screen plant, useful for clipped hedges or as a specimen.",4,-30°,,5-Apr,44624,,,Spring,,,,Deciduous. Foliage: Blue Green; Hedge; Massed,0,,,,,
79,Polka Weigela,Weigela,wy-GEE-la,,"This weigela is an excellent choice for planting in mixed perennial beds, in the landscape or as a hedge. For the best flowering, plant Polka Weigela in an area that receives full sun. It will grow in partial shade. It performs best when planted in well-drained soil.",4,-30°,,5-Mar,44657,,,Late Spring - Summer,,,,"Pink Blossoms; Foliage: Dark Green; Attracts hummingbirds, butterflies, pollinators; Hedge; Prune to desired shape if needed immediately after blooming finishes.",0,,,,,
80,Little Moonshine Yarrow,Achillea,,,"Same bright gold flowers as Moonshine that bloom a long time, but with a compact habit that is ideal for containers and smaller garden spaces. This petite beauty comes into flower early and blooms from May through Sept Finely cut gray-green foliage. Hybrid.",4,-30°,,9-12”,10-12”,,,June-Frost,,,,Drought tolerant when established; Deer Resistant; Attracts Butterflies,8,,,,,
81,New Vintage Series White Yarrow,Achillea millefolium,,,"Matures to attractive shades instead of fading to brown. Excellent rebloom. Tidy, tight habit.",4,-40°,,12-14”,10-12”,,,June-Frost,,,,Drought tolerant when established; Deer Resistant; Attracts Butterflies,8,,,,,
82,Paprika Yarrow,Achillea millefolium,,,This plant is known for its large clusters of bright red flowers that have a distinctive yellow eye. The flowers fade from red to pink with age.,3,-40°,,18-24”,18-24”,,,June-Frost,,,,Drought tolerant when established; Deer Resistant; Attracts Butterflies,8,,,,,
83,New Vintage Series Violet Yarrow,Achillea millefolium,,,"The Vintage Series contains deep colors that mature to attractive shades instead of fading to brown. Excellent rebloom. Tidy, tight habit makes them superior for containers and the garden.",4,-40°,,12-14”,10-12”,,,June-Frost,,,,Drought tolerant when established; Deer Resistant; Attracts Butterflies,8,,,,,
84,Peter Cottontail Yarrow,Achillea ptarmica,,Sneezewort,"Large, ivory white flowers. Low, mounding habit of green foliage.",3,-40°,,18-24”,28-30”,,,June-Frost,,,,Drought tolerant when established; Deer Resistant; Attracts Butterflies,8,,,,,
85,Azure Monkshood,Aconitum fischeri,,Wolf's Bane; Devil's Helmet,"Striking upright spikes of lavender-blue flowers. Each individual flower is shaped like a little helmet or hood. It has particularly strong stems that will not require staking. The deeply divided, dark green, glossy foliage provides interest.",4,-30°,,18-24”,12-18”,,,Mid summer - Frost,,,,Deer Resistant,12,,,,,
86,Common Monkshood,Aconitum napellus,,,"Sends up striking, upright spikes of  flowers  when few other blue flowers are in bloom. Rarely bothered by pests or diseases.",4,-30°,,36-42”,12-18”,,,Mid summer - Frost,,,,Deer Resistant,8,,,,,
87,Snow on the Mountain,Aegopodium podagraria,,Goutweed; Bishop s Weed,"A popular variegated groundcover that quickly forms a dense, weed-proof carpet, even under difficult growing conditions. A good choice for sites where nothing else seems to succeed. Site carefully, this is difficult to eradicate once established, so don t let this loose in the border! Especially nice in containers. Flower stems may be removed to keep the patch tidy looking, as well as to prevent self-seeding.",1,-50°,,,,,,Summer,,,,Attracts butterflies; Containers; Deer resistant; Drought tolerant when established; GROUND COVER; Massed.,0,,,,,
88,Sonoran Sunset Hyssop,Agastache cana,,"Hummingbird Mint, Licorice Plant, Rootbeer Plant","Large lavender-rose flowers bloom over a longer time from late summer into the fall. This is a compact, drought tolerant perennial that is showier than the species. It is a great addition for rock garden or dry border. Attracts hummingbirds, butterflies and bees.",4,-30°,,14-16”,12-15”,,?,Mid summer - Frost,,,,"Deer Resistant; Attracts Butterflies, hummingbirds, bees; Drought tolerant when established",8,,,,,
89,Apache Sunset Hyssop,Agastache rupestris,,Hummingbird Mint,"This terrific species is sometimes called Licorice or Rootbeer Plant. Plants form a bushy clump, bearing short spikes of salmon-orange flowers for months on end. This thrives in hot, sunny sites. Plants require a well drained site. Remove faded flowers regularly so that new buds will form.",,-30°,,14-16”,12-15”,,,Mid summer - Frost,,,,"Deer Resistant; Attracts Butterflies, hummingbirds, bees; Drought tolerant when established",4.5,,,,,
90,Burgundy Glow Ajuga,Ajuga,,,"Mound of leaves dappled in green, cream and smoky pink. The clumps of attractive foliage are topped in spring with lovely short spikes of blue flowers.",3,-40°,,4-6”,10-12”,,,Spring,,,,Deer Resistant; Attracts Butterflies,0,,,,,
91,Chocolate Chip Ajuga,Ajuga reptans,,,"Narrow foliage is dark green, overlaid with chocolate-brown in during the cooler months and forming a very low mound.Spikes of blue flowers appear in spring.",3,-40°,,4-6”,10-12”,,,Spring,,,,Deer Resistant; Attracts Butterflies,0,,,,,
92,Pink Lightning Ajuga,Ajuga reptans,,Bugleweed,A magnificent white-edged sport of Ajuga. The clumps of attractive foliage are topped in spring with lovely short spikes of mauvy-pink flowers.,3,-40°,,4-6”,10-12”,,,Spring,,,,Deer Resistant; Attracts Butterflies,4.5,,,,,
93,Blacknight Single Hollyhock,Alcea rosea,,,Stately short-lived perennial. Plant hollyhocks at the back of the border or along fences and walls.,3,-30°,,60-72”,18-24”,,,June-Frost,,,,Attracts Butterflies; Drought tolerant when established.,8,,,,,
94,Mars Magic Single Hollyhock,Alcea rosea,,,"Bright red, single flowers a",3,-30°,,60-72”,18-24”,,,June-Frost,,,,Attracts Butterflies; Drought tolerant when established.,8,,,,,
95,Thriller Lady s Mantle,Alchemilla mollis,,,Vivid golden yellow flowers held on stems in open sprays above the scalloped bright green leaves. Creeping habit and form is valuable for front of the border or along flagstone paths.,3,-40°,,12-18”,12-18”,,,Late spring or early summer-frost,,,,Deer Resistant; Ground cover; INVASIVE,8,,,,,
96,Snowdrops Snowdrops Windflower,Anemone sylvestris,,,"In Greek, Anemone means 'daughter of the wind'. Dark green foliage with graceful upright flower stems that rise above the foliage. They thrive in light to partial shade but will tolerate Full Sun as long as there is sufficient moisture.",2,-50°,,12-18”,12-18”,,,Spring,,,,Ground cover,10,,,,,
97,Pussy Toes Antennaria,Antennaria dioica,,Cat's Foot,"Low growing carpet of silver foliage. Flowers are rosy pink in color on upright stems. Excellent ground cover for a sunny rock garden. Very drought tolerant. Tiny, bright silver-gray leaves form a low creeping mat. Fuzzy rose-pink flowers in late spring.",3,-40°,,4-6”,10-12”,,,Spring,,,,Deer Resistant; Drought tolerant when established; Ground cover; NATIVE,9,,,,,
98,Earlybird Series Mix Columbine,Aquilegia caerulea,,,"This new series features strong, new colors and has a low cold requirement and short juvenility for growing in warm Winter climates. Features a controlled habit, with relatively short stems on well-mounded plants.",3,-40°,,9-11”,8-10”,,,Spring-summer,,,,Deer Resistant; Attracts Butterflies; Drought tolerant when established,8,,,,,
99,Earlybird Series White Columbine,Aquilegia caerulea,,,"This new series features strong, new colors and has a low cold requirement and short juvenility for growing in warm Winter climates. Features a controlled habit, with relatively short stems on well-mounded plants.",,-40°,,9-11”,8-10”,,,Spring-summer,,,,Deer Resistant; Attracts Butterflies; Drought tolerant when established,8,,,,,
